SeriesGSE,samples,Cell,Condition
GSE53066,GSM1281588,A673,shEF1
GSE53066,GSM1281589,A673,shEF1
GSE53066,GSM1281590,A673,shEF1
GSE53066,GSM1281591,A673,shEF1
GSE53066,GSM1281592,A673,shEF1
GSE53066,GSM1281593,A673,shCTR
GSE53066,GSM1281594,A673,shCTR
GSE53066,GSM1281595,A673,shCTR
GSE56900,GSM1370910,A673,shRUNX3
GSE56900,GSM1370911,A673,shCTR
GSE60890,GSM1492943,A673,shCTR
GSE60890,GSM1492944,A673,shHNRNPK
GSE60890,GSM1492945,A673,shCTR
GSE60890,GSM1492946,A673,shHNRNPK
GSE60949,GSM1494404,A673,shEWSAT1
GSE60949,GSM1494405,A673,shEWSAT1
GSE60949,GSM1494406,A673,shEWSAT1
GSE60949,GSM1494407,A673,shEWSAT1
GSE60949,GSM1494408,A673,shEWSAT1
GSE60949,GSM1494409,A673,shEWSAT1
GSE60949,GSM1494410,A673,shEWSAT1
GSE60949,GSM1494411,A673,shCTR
GSE60949,GSM1494412,A673,shCTR
GSE60949,GSM1494413,A673,shCTR
GSE60949,GSM1494414,A673,shCTR
GSE60949,GSM1494415,A673,shEF1
GSE60949,GSM1494416,A673,shEF1
GSE60949,GSM1494417,A673,shEF1
GSE60949,GSM1494418,A673,shEF1
GSE61950,GSM1517626,SKNMC,shCTR
GSE61950,GSM1517627,SKNMC,shFLI1
GSE61950,GSM1517628,SKNMC,shCTR
GSE61950,GSM1517629,SKNMC,shFLI1
GSE61950,GSM1517630,A673,shCTR
GSE61950,GSM1517631,A673,shFLI1
GSE68836,GSM1682833,TC32,NT
GSE68836,GSM1682834,TC32,Etop-6hr
GSE68836,GSM1682835,TC32,Etop-12hr
GSE68836,GSM1682836,TC32,Etop-18hr
GSE68836,GSM1682837,TC32,Etop-24hr
GSE68836,GSM1682838,EWS502,NT
GSE68836,GSM1682839,EWS502,Etop-6hr
GSE68836,GSM1682840,EWS502,Etop-12hr
GSE68836,GSM1682841,EWS502,Etop-18hr
GSE68836,GSM1682842,EWS502,Etop-24hr
GSE68836,GSM1682843,CHLA258,NT
GSE68836,GSM1682844,CHLA258,Etop-6hr
GSE68836,GSM1682845,CHLA258,Etop-12hr
GSE68836,GSM1682846,CHLA258,Etop-18hr
GSE68836,GSM1682847,CHLA258,Etop-24hr
GSE68836,GSM1682848,CHLA10,NT
GSE68836,GSM1682849,CHLA10,Etop-6hr
GSE68836,GSM1682850,CHLA10,Etop-12hr
GSE68836,GSM1682851,CHLA10,Etop-18hr
GSE68836,GSM1682852,CHLA10,Etop-24hr
GSE73092,GSM1885288,A673,shCTR
GSE73092,GSM1885289,A673,shCTR
GSE73092,GSM1885290,A673,shCTR
GSE73092,GSM1885291,A673,shLRWD1
GSE73092,GSM1885292,A673,shLRWD1
GSE73092,GSM1885293,A673,shLRWD1
GSE73092,GSM1885294,A673,shLRWD1
GSE73092,GSM1885295,A673,shLRWD1
GSE73092,GSM1885296,A673,shLRWD1
GSE75859,GSM1968989,CHLA25,7TGP
GSE75859,GSM1968990,CHLA25,7TGP
GSE75859,GSM1968993,CHLA25,7TGP
GSE80492,GSM2128329,A673,spongeCXCR4
GSE80492,GSM2128330,A673,spongeCXCR4
GSE80492,GSM2128331,A673,spongeMiR17-92
GSE80492,GSM2128332,A673,spongeMiR17-92
GSE80492,GSM2128333,A673,spongeCXCR4
GSE80492,GSM2128334,A673,spongeCXCR4
GSE80492,GSM2128335,A673,spongeMiR10b
GSE80492,GSM2128336,A673,spongeMiR10b
GSE80492,GSM2128337,A673,spongeMiR9
